cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,av11,av12,av13,av14,av15,av16,av17,av18,av19,av20,av21,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,sd17,sd18,sd19,sd20,sd21
6,-0.0016,0.0003,100,518.67,642.42,1588.53,1406.54,14.62,21.61,553.79,2388.14,9059.66,1.3,47.27,521.66,2388.09,8147.72,8.4172,0.03,394,2388,100,38.91,23.3354,518.67,642.686,1590.43,1408.326,14.62,21.61,553.624,2388.114,9058.444,1.3,47.478,521.434,2388.082,8142.076,8.4396,0.03,393.2,2388,100,38.93,23.2983,0,0.338939523,1.843407172,1.969144484,0,0,0.188891503,0.016733201,2.921229193,0,0.132928552,0.3321596,0.029495762,3.43736527,0.026126902,0,0.447213595,0,0,0.074498322,0.076921778
7,0.0021,0.0004,100,518.67,642.47,1591.83,1404.6,14.62,21.61,553.38,2388.12,9058.61,1.3,47.37,521.67,2388.1,8142.97,8.4311,0.03,394,2388,100,38.88,23.429,518.67,642.604,1590.634,1406.912,14.62,21.61,553.53,2388.116,9059.152,1.3,47.466,521.48,2388.088,8142.358,8.43684,0.03,393.4,2388,100,38.924,23.30626,0,0.329742324,1.949366564,1.432993371,0,0,0.163554272,0.016733201,2.251204122,0,0.140819033,0.348711915,0.029495762,3.442284125,0.026155936,0,0.547722558,0,0,0.077653075,0.089680979
8,-0.0022,-0.0001,100,518.67,642.26,1595.78,1403.33,14.62,21.61,553.65,2388.14,9055.67,1.3,47.47,521.33,2388.13,8139.21,8.4473,0.03,394,2388,100,38.83,23.3932,518.67,642.542,1591.982,1406.1,14.62,21.61,553.56,2388.124,9057.736,1.3,47.438,521.376,2388.106,8142.196,8.44308,0.03,393.6,2388,100,38.91,23.34726,0,0.364993151,2.741125681,2.092809117,0,0,0.170293864,0.016733201,1.535017915,0,0.116918775,0.281921975,0.018165902,3.595473543,0.023564316,0,0.547722558,0,0,0.088600226,0.065928203
9,-0.0003,0.0005,100,518.67,642.62,1586.54,1408.97,14.62,21.61,553.88,2388.07,9061.36,1.3,47.26,521.33,2388.07,8142.2,8.438,0.03,393,2388,100,38.63,23.2255,518.67,642.43,1590.642,1406.254,14.62,21.61,553.654,2388.118,9058.626,1.3,47.382,521.408,2388.096,8142.88,8.44276,0.03,393.6,2388,100,38.862,23.3404,0,0.131529464,3.503922088,2.303677495,0,0,0.194756258,0.028635642,2.11634827,0,0.122759928,0.260998084,0.021908902,3.070073289,0.023634149,0,0.547722558,0,0,0.155467038,0.077985672
10,0,-0.0003,100,518.67,642.64,1586.29,1413.81,14.62,21.61,554.64,2388.1,9061.74,1.3,47.17,521.87,2388.12,8138.49,8.4202,0.03,394,2388,100,38.94,23.3552,518.67,642.482,1589.794,1407.45,14.62,21.61,553.868,2388.114,9059.408,1.3,47.308,521.572,2388.102,8142.118,8.43076,0.03,393.8,2388,100,38.838,23.34766,0,0.15594871,4.013780014,4.143820701,0,0,0.471136923,0.029664794,2.445479503,0,0.114978259,0.236262566,0.023874673,3.665169846,0.012464871,0,0.447213596,0,0,0.123166554,0.077169152
11,0.0008,-0.0005,100,518.67,642.64,1592.1,1402.62,14.62,21.61,553.63,2388.05,9064.29,1.3,47.44,521.72,2388.13,8140.28,8.4274,0.03,394,2388,100,38.82,23.2255,518.67,642.526,1590.508,1406.666,14.62,21.61,553.836,2388.096,9060.334,1.3,47.342,521.584,2388.11,8140.63,8.4328,0.03,393.8,2388,100,38.82,23.32568,0,0.16486358,4.050082715,4.69341347,0,0,0.483042441,0.036469165,3.294105341,0,0.125578661,0.243269398,0.025495098,1.914353677,0.010345289,0,0.447213596,0,0,0.116404467,0.095101877
12,0.0038,0.0004,100,518.67,642.3,1592.85,1407.39,14.62,21.61,552.55,2388.13,9057.69,1.3,47.49,521.84,2388.07,8137.4,8.4021,0.03,395,2388,100,38.93,23.1847,518.67,642.492,1590.712,1407.224,14.62,21.61,553.67,2388.098,9060.15,1.3,47.366,521.618,2388.104,8139.516,8.427,0.03,394,2388,100,38.83,23.27682,0,0.194216374,4.157579825,4.550041758,0,0,0.748565294,0.038340579,3.437069973,0,0.142583309,0.268830802,0.031304952,1.831073456,0.017316899,0,0.707106781,0,0,0.124699639,0.091434824
13,0.003,-0.0004,100,518.67,642.75,1589.15,1409.72,14.62,21.61,553.58,2388.16,9059.01,1.3,47.8,521.63,2388.09,8141.51,8.4407,0.03,394,2388,100,38.78,23.3103,518.67,642.59,1589.386,1408.502,14.62,21.61,553.656,2388.102,9060.818,1.3,47.432,521.678,2388.096,8139.976,8.42568,0.03,394,2388,100,38.82,23.26024,0,0.17,3.045723231,4.053143225,0,0,0.749686601,0.044384682,2.561829424,0,0.243454308,0.216956217,0.02792848,2.014678634,0.015543391,0,0.707106781,0,0,0.126688595,0.070077514
2,0.0004,0.0004,100,518.67,642.14,1588.84,1394.27,14.62,21.61,554.18,2387.98,9066.05,1.3,47.08,522.82,2388.05,8142.66,8.4101,0.03,392,2388,100,39.12,23.4014,518.67,642.07,1582.795,1394.52,14.62,21.61,554.575,2388,9060.995,1.3,47.03,522.85,2388.025,8142.445,8.41015,0.03,391.5,2388,100,38.995,23.39585,0,0.098994949,8.548920985,0.353553391,0,0,0.558614357,0.028284271,7.148849558,0,0.070710678,0.042426407,0.035355339,0.304055916,7.07E-05,0,0.707106781,0,0,0.176776695,0.007848885
3,-0.002,-0.0001,100,518.67,642.05,1581.96,1395.53,14.62,21.61,554.55,2388.01,9053.7,1.3,47.18,522.62,2387.99,8140.42,8.3922,0.03,391,2388,100,38.89,23.4291,518.67,642.0633333,1582.516667,1394.856667,14.62,21.61,554.5666667,2388.003333,9058.563333,1.3,47.08,522.7733333,2388.013333,8141.77,8.404166667,0.03,391.3333333,2388,100,38.96,23.40693333,0,0.070945989,6.064192719,0.634455147,0,0,0.395263625,0.02081666,6.579668178,0,0.1,0.136137186,0.032145503,1.188738827,0.010363558,0,0.577350269,0,0,0.13892444,0.019983076
4,-0.0015,-0.0001,100,518.67,641.97,1587.35,1393.24,14.62,21.61,554.75,2387.96,9053.73,1.3,46.92,522.67,2388,8140.5,8.4142,0.03,392,2388,100,39.12,23.4905,518.67,642.04,1583.725,1394.4525,14.62,21.61,554.6125,2387.9925,9057.355,1.3,47.04,522.7475,2388.01,8141.4525,8.406675,0.03,391.5,2388,100,39,23.427825,0,0.074386379,5.509679362,0.960082462,0,0,0.335497144,0.027537853,5.890809226,0,0.114309521,0.122576507,0.027080128,1.15986709,0.009837132,0,0.577350269,0,0,0.138804419,0.04485602
5,0.0014,-0.0003,100,518.67,642.33,1584.7,1392.44,14.62,21.6,554.72,2388.07,9056.97,1.3,47.34,523.02,2388,8142.05,8.3915,0.03,390,2388,100,39.09,23.4482,518.67,642.098,1583.92,1394.05,14.62,21.608,554.634,2388.008,9057.278,1.3,47.1,522.802,2388.008,8141.572,8.40364,0.03,391.2,2388,100,39.018,23.4319,0,0.144810221,4.791403761,1.225295883,0,0.004472136,0.294499576,0.042071368,5.104495078,0,0.16673332,0.161616831,0.023874673,1.039408486,0.010891878,0,0.836660027,0,0,0.126767504,0.039900815
6,-0.0006,-0.0003,100,518.67,641.81,1586.84,1395.7,14.62,21.61,554.47,2387.97,9061.09,1.3,47.15,522.62,2387.98,8141.56,8.3864,0.03,391,2388,100,39.14,23.5058,518.67,642.06,1585.938,1394.236,14.62,21.608,554.534,2387.998,9058.308,1.3,47.134,522.75,2388.004,8141.438,8.39888,0.03,391.2,2388,100,39.072,23.455,0,0.193649167,2.673297589,1.417437829,0,0.004472136,0.229630137,0.044384682,5.283466665,0,0.152905199,0.17175564,0.027018512,0.974535787,0.012403911,0,0.836660027,0,0,0.103295692,0.043101334
7,0.0027,-0.0005,100,518.67,642.41,1582.35,1393.78,14.62,21.61,553.71,2388.02,9060.13,1.3,47.3,522.29,2387.94,8144.41,8.3942,0.03,392,2388,100,39.26,23.4558,518.67,642.114,1584.64,1394.138,14.62,21.608,554.44,2388.006,9057.124,1.3,47.178,522.644,2387.982,8141.788,8.3957,0.03,391.2,2388,100,39.1,23.46588,0,0.250758848,2.480634999,1.431369973,0,0.004472136,0.424381903,0.043931765,3.465253237,0,0.164681511,0.259094577,0.024899799,1.622180631,0.010734058,0,0.836660027,0,0,0.13397761,0.031490903
8,0.0003,0,100,518.67,642.41,1582.04,1395.75,14.62,21.61,554.93,2387.97,9058.95,1.3,47.35,522.26,2387.97,8144.91,8.3968,0.03,391,2388,100,38.96,23.3113,518.67,642.186,1584.656,1394.182,14.62,21.608,554.516,2387.998,9058.174,1.3,47.212,522.572,2387.978,8142.686,8.39662,0.03,391.2,2388,100,39.114,23.44232,0,0.277992806,2.459192957,1.48715164,0,0.004472136,0.479458027,0.046583259,2.92104091,0,0.181851588,0.312041664,0.024899799,1.895344296,0.010554715,0,0.836660027,0,0,0.107610408,0.077028482
9,0.0022,-0.0005,100,518.67,642,1580.24,1397.41,14.62,21.6,554.99,2388.09,9055.75,1.3,47.01,522.14,2387.99,8136.59,8.3748,0.03,392,2388,100,39.16,23.486,518.67,642.192,1583.234,1395.016,14.62,21.606,554.564,2388.024,9058.578,1.3,47.23,522.466,2387.976,8141.904,8.38874,0.03,391.2,2388,100,39.122,23.44142,0,0.272433478,2.565322592,1.930111396,0,0.005477226,0.519114631,0.055497748,2.204567985,0,0.146799183,0.357183426,0.023021729,3.305083963,0.008691835,0,0.836660027,0,0,0.109635761,0.076348098
10,-0.0006,-0.0002,100,518.67,642.26,1584.19,1396.7,14.62,21.61,554.77,2387.94,9061.57,1.3,47.11,522.44,2388.03,8144.92,8.4223,0.03,391,2388,100,38.9,23.371,518.67,642.178,1583.132,1395.868,14.62,21.608,554.574,2387.998,9059.498,1.3,47.184,522.35,2387.982,8142.478,8.3949,0.03,391.4,2388,100,39.084,23.42598,0,0.265273444,2.501813342,1.36673699,0,0.004472136,0.523335456,0.058906706,2.322438374,0,0.139570771,0.18493242,0.032710854,3.574978322,0.01754366,0,0.547722558,0,0,0.149264865,0.082214913
11,-0.0023,-0.0002,100,518.67,641.9,1585.36,1390.35,14.62,21.61,554.74,2388,9055.34,1.3,47.11,522.54,2388.01,8141.67,8.3967,0.03,390,2388,100,39.19,23.4066,518.67,642.196,1582.836,1394.798,14.62,21.608,554.628,2388.004,9058.348,1.3,47.176,522.334,2387.988,8142.5,8.39696,0.03,391.2,2388,100,39.094,23.40614,0,0.235435766,1.98827312,2.835819106,0,0.004472136,0.523851124,0.056833089,2.725659553,0,0.143108351,0.157098695,0.034928498,3.56824887,0.016888546,0,0.836660027,0,0,0.155499196,0.069053226
12,-0.0016,-0.0005,100,518.67,642.11,1582.54,1402.78,14.62,21.6,555.21,2388.01,9049.29,1.3,47.1,522.38,2387.95,8139.11,8.3678,0.03,392,2388,100,39.1,23.3218,518.67,642.136,1582.874,1396.598,14.62,21.606,554.928,2388.002,9056.18,1.3,47.136,522.352,2387.99,8141.44,8.39168,0.03,391.2,2388,100,39.062,23.37934,0,0.203297811,1.978453942,4.434057961,0,0.005477226,0.189525724,0.056302753,4.612147005,0,0.12680694,0.15594871,0.031622777,3.645394355,0.021472005,0,0.836660027,0,0,0.126570139,0.070938903
2,0.0006,0.0003,100,518.67,642.43,1593.21,1399.44,14.62,21.61,553.49,2388.15,9054.6,1.3,47.56,521.27,2388.11,8134.39,8.4102,0.03,393,2388,100,38.96,23.3185,518.67,642.665,1588.315,1405.38,14.62,21.61,553.225,2388.13,9055.49,1.3,47.485,521.045,2388.11,8135.315,8.43375,0.03,392.5,2388,100,38.9,23.29885,0,0.332340187,6.922575388,8.40042856,0,0,0.374766594,0.028284271,1.258650071,0,0.106066017,0.318198052,0,1.308147545,0.033304729,0,0.707106781,0,0,0.084852814,0.027789297
3,-0.0001,0,100,518.67,642.57,1592.17,1411.88,14.62,21.61,552.92,2388.14,9054.7,1.3,47.57,521.3,2388.11,8139.92,8.4546,0.03,393,2388,100,38.58,23.3094,518.67,642.6333333,1589.6,1407.546667,14.62,21.61,553.1233333,2388.133333,9055.226667,1.3,47.51333333,521.13,2388.11,8136.85,8.4407,0.03,392.6666667,2388,100,38.79333333,23.30236667,0,0.241315837,5.377239069,7.02616064,0,0,0.318171861,0.02081666,1.000066664,0,0.089628864,0.268886593,0,2.815013321,0.026448251,0,0.577350269,0,0,0.194250697,0.020572393
4,0.0015,-0.0004,100,518.67,642.83,1583.86,1407.9,14.62,21.61,552.41,2388.13,9061.41,1.3,47.65,521.05,2388.15,8136.32,8.4751,0.03,392,2388,100,38.74,23.2993,518.67,642.6825,1588.165,1407.635,14.62,21.61,552.945,2388.1325,9056.7725,1.3,47.5475,521.11,2388.12,8136.7175,8.4493,0.03,392.5,2388,100,38.78,23.3016,0,0.220208235,5.245318548,5.739555732,0,0,0.441248229,0.017078251,3.197680149,0,0.100124922,0.223159136,0.02,2.313674927,0.027607608,0,0.577350269,0,0,0.160831174,0.016867128
5,0.0024,-0.0003,100,518.67,642.83,1590.75,1415.65,14.62,21.61,553,2388.11,9049.91,1.3,47.3,520.94,2388.14,8142.64,8.468,0.03,394,2388,100,38.69,23.3035,518.67,642.712,1588.682,1409.238,14.62,21.61,552.956,2388.128,9055.4,1.3,47.498,521.076,2388.124,8137.902,8.45304,0.03,392.8,2388,100,38.762,23.30198,0,0.201791972,4.687373465,6.128206916,0,0,0.382922969,0.017888544,4.133721084,0,0.140605832,0.207677635,0.019493589,3.321147392,0.025329291,0,0.836660027,0,0,0.144982758,0.014632054
6,-0.0029,0.0001,100,518.67,642.9,1594.93,1401.3,14.62,21.61,554.22,2388.08,9059.7,1.3,47.68,521.37,2388.03,8140.32,8.4711,0.03,393,2388,100,38.93,23.3299,518.67,642.712,1590.984,1407.234,14.62,21.61,553.208,2388.122,9056.064,1.3,47.552,521.186,2388.108,8138.718,8.4558,0.03,393,2388,100,38.78,23.31212,0,0.201791972,4.264349892,6.870529819,0,0,0.683132491,0.027748874,4.573721679,0,0.149899967,0.182290976,0.047116876,3.311920893,0.026628087,0,0.707106781,0,0,0.161709616,0.012276889
7,0.0004,-0.0003,100,518.67,643.6,1595.16,1416.51,14.62,21.61,552.5,2388.07,9048.75,1.3,47.58,521.25,2388.04,8139.3,8.3989,0.03,392,2388,100,38.85,23.269,518.67,642.946,1591.374,1410.648,14.62,21.61,553.01,2388.106,9054.894,1.3,47.556,521.182,2388.094,8139.7,8.45354,0.03,392.8,2388,100,38.758,23.30222,0,0.386691091,4.595163762,6.241744147,0,0,0.723256524,0.030495901,5.660885973,0,0.150432709,0.18019434,0.055946403,2.272707636,0.03149973,0,0.836660027,0,0,0.136638208,0.021974235
8,0.0044,-0.0002,100,518.67,642.68,1593.88,1403.58,14.62,21.61,552.25,2388.1,9053.26,1.3,47.59,521.75,2388.1,8133.84,8.4507,0.03,393,2388,100,38.77,23.1964,518.67,642.968,1591.716,1408.988,14.62,21.61,552.876,2388.098,9054.606,1.3,47.56,521.272,2388.092,8138.484,8.45276,0.03,392.8,2388,100,38.796,23.27962,0,0.36231202,4.730848761,6.901055716,0,0,0.801891514,0.023874673,5.709643597,0,0.151162165,0.315467906,0.055407581,3.448141528,0.031515203,0,0.836660027,0,0,0.094762862,0.051293245
9,-0.0007,0.0004,100,518.67,642.6,1595.17,1407.39,14.62,21.61,553.39,2388.13,9052.06,1.3,47.73,521.47,2388.08,8137.09,8.4436,0.03,392,2388,100,38.93,23.3741,518.67,642.922,1593.978,1408.886,14.62,21.61,553.072,2388.098,9052.736,1.3,47.576,521.356,2388.078,8138.638,8.44646,0.03,392.8,2388,100,38.834,23.29458,0,0.397139774,1.881082135,6.924884837,0,0,0.778954427,0.023874673,4.275023977,0,0.166523272,0.296951174,0.04494441,3.342920879,0.028979355,0,0.836660027,0,0,0.104307238,0.066977884
10,0.0001,0.0003,100,518.67,643.01,1585.19,1407.4,14.62,21.61,552.65,2388.14,9053.19,1.3,47.65,521.45,2388.07,8142.31,8.4403,0.03,394,2388,100,38.95,23.3457,518.67,642.958,1592.866,1407.236,14.62,21.61,553.002,2388.104,9053.392,1.3,47.646,521.458,2388.064,8138.572,8.44092,0.03,392.8,2388,100,38.886,23.30302,0,0.394867066,4.323774971,5.802157357,0,0,0.802415105,0.030495901,3.974024409,0,0.062689712,0.184715998,0.028809721,3.246008318,0.026361563,0,0.836660027,0,0,0.075365775,0.070925433
11,0.004,0,100,518.67,642.96,1597.12,1412.89,14.62,21.61,553.38,2388.11,9053.03,1.3,47.48,521.39,2388.14,8139.37,8.457,0.03,394,2388,100,38.86,23.235,518.67,642.97,1593.304,1409.554,14.62,21.61,552.834,2388.11,9052.058,1.3,47.606,521.462,2388.086,8138.382,8.4381,0.03,393,2388,100,38.872,23.28404,0,0.393573373,4.681274399,5.111900821,0,0,0.522905345,0.027386128,1.911405242,0,0.092357999,0.182537667,0.037148351,3.144323457,0.022845678,0,1,0,0,0.071554175,0.074539674
12,0.0005,0.0003,100,518.67,642.84,1596.1,1412.87,14.62,21.61,553.18,2388.15,9057.77,1.3,47.64,521,2388.1,8136.66,8.4553,0.03,393,2388,100,38.8,23.3143,518.67,642.818,1593.492,1408.826,14.62,21.61,552.97,2388.126,9053.862,1.3,47.618,521.412,2388.098,8137.854,8.44938,0.03,393.2,2388,100,38.862,23.2931,0,0.176124956,4.79201106,4.015162512,0,0,0.502344503,0.020736441,2.237514246,0,0.092032603,0.268923781,0.026832816,3.173157733,0.007257892,0,0.836660027,0,0,0.078549348,0.075006166
13,-0.0027,-0.0003,100,518.67,642.3,1580.59,1415.69,14.62,21.61,553.06,2388.09,9056.35,1.3,47.58,521.7,2388.09,8135.52,8.4589,0.03,394,2388,100,38.95,23.2962,518.67,642.742,1590.834,1411.248,14.62,21.61,553.132,2388.124,9054.48,1.3,47.616,521.402,2388.096,8138.19,8.45102,0.03,393.4,2388,100,38.898,23.31306,0,0.293462093,7.463908494,3.699651335,0,0,0.30326556,0.024083189,2.446630336,0,0.092897793,0.253712436,0.027018512,2.694744886,0.008457955,0,0.894427191,0,0,0.066105976,0.052845085
1,-0.0032,0.0005,100,518.67,641.45,1587.52,1401.29,14.62,21.61,555.25,2388.03,9067.87,1.3,47.25,522.19,2387.98,8146.09,8.3859,0.03,392,2388,100,39.21,23.5279,518.67,641.45,1587.52,1401.29,14.62,21.61,555.25,2388.03,9067.87,1.3,47.25,522.19,2387.98,8146.09,8.3859,0.03,392,2388,100,39.21,23.5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0008,0.0005,100,518.67,642.13,1589.83,1399.55,14.62,21.61,554.3,2388.06,9062.08,1.3,47.34,522.07,2387.95,8139.76,8.4125,0.03,389,2388,100,39.17,23.4691,518.67,641.79,1588.675,1400.42,14.62,21.61,554.775,2388.045,9064.975,1.3,47.295,522.13,2387.965,8142.925,8.3992,0.03,390.5,2388,100,39.19,23.4985,0,0.480832611,1.633416665,1.230365799,0,0,0.671751442,0.021213203,4.094148263,0,0.06363961,0.084852814,0.021213203,4.475985925,0.01880904,0,2.121320344,0,0,0.028284271,0.041577879
3,-0.0011,0.0005,100,518.67,642.1,1587.43,1400.98,14.62,21.61,555.27,2388.02,9061.96,1.3,47.15,522.68,2387.99,8143.07,8.4146,0.03,391,2388,100,39.17,23.3437,518.67,641.8933333,1588.26,1400.606667,14.62,21.61,554.94,2388.036667,9063.97,1.3,47.24666667,522.3133333,2387.973333,8142.973333,8.404333333,0.03,390.6666667,2388,100,39.18333333,23.4469,0,0.384230833,1.360404352,0.928134329,0,0,0.554346462,0.02081666,3.378031971,0,0.09504385,0.323161466,0.02081666,3.166106968,0.015998229,0,1.527525232,0,0,0.023094011,0.09408528
4,0.0042,-0.0002,100,518.67,642.07,1586.55,1394.42,14.62,21.61,554.35,2388.06,9059.34,1.3,47.33,522.65,2387.98,8146.69,8.4033,0.03,393,2388,100,38.93,23.4337,518.67,641.9375,1587.8325,1399.06,14.62,21.61,554.7925,2388.0425,9062.8125,1.3,47.2675,522.3975,2387.975,8143.9025,8.404075,0.03,391.25,2388,100,39.12,23.4436,0,0.32592177,1.401722155,3.184807687,0,0,0.540269994,0.020615528,3.600920021,0,0.088081402,0.31298296,0.017320508,3.183743865,0.013072713,0,1.707825128,0,0,0.128062485,0.077103307
5,0.0008,-0.0004,100,518.67,642.09,1582.86,1400.71,14.62,21.61,554.88,2388.01,9056.77,1.3,47.15,522.39,2387.99,8147.13,8.3931,0.03,391,2388,100,39.1,23.4077,518.67,641.968,1586.838,1399.39,14.62,21.61,554.81,2388.036,9061.604,1.3,47.244,522.396,2387.978,8144.548,8.40188,0.03,391.2,2388,100,39.116,23.43642,0,0.290379063,2.533529159,2.855126967,0,0,0.469521033,0.023021729,4.126418544,0,0.092628289,0.271071946,0.016431677,3.112156808,0.012339449,0,1.483239697,0,0,0.111265448,0.06867643
6,-0.0025,0.0003,100,518.67,642.57,1585.26,1400.36,14.62,21.61,554.52,2388.01,9062.26,1.3,47.32,522.24,2388,8144.88,8.4113,0.03,392,2388,100,39.01,23.5295,518.67,642.192,1586.386,1399.204,14.62,21.61,554.664,2388.032,9060.482,1.3,47.258,522.406,2387.982,8144.306,8.40696,0.03,391.2,2388,100,39.076,23.43674,0,0.212414689,2.582562681,2.7278618,0,0,0.407958331,0.025884358,2.397002295,0,0.09884331,0.262354722,0.019235384,3.007562136,0.008851441,0,1.483239697,0,0,0.104785495,0.069210895
7,-0.0006,-0.0002,100,518.67,641.54,1585.86,1398.68,14.62,21.61,554.36,2387.98,9061.04,1.3,47.2,522.31,2388.02,8144.45,8.3787,0.03,392,2388,100,39.04,23.4017,518.67,642.074,1585.592,1399.03,14.62,21.61,554.676,2388.016,9060.274,1.3,47.23,522.454,2387.996,8145.244,8.4002,0.03,391.8,2388,100,39.05,23.42326,0,0.364732779,1.727851267,2.728021261,0,0,0.395259408,0.028809721,2.265166661,0,0.089162773,0.200074986,0.015165751,1.668616193,0.014601712,0,0.836660027,0,0,0.090829511,0.067883488
8,-0.0027,-0.0001,100,518.67,642.27,1587.62,1399.79,14.62,21.6,554.76,2387.98,9061.46,1.3,47.17,522.69,2387.97,8138.59,8.3459,0.03,393,2388,100,38.99,23.4415,518.67,642.108,1585.63,1398.792,14.62,21.608,554.574,2388.008,9060.174,1.3,47.234,522.456,2387.992,8144.348,8.38646,0.03,392.2,2388,100,39.014,23.44282,0,0.375526297,1.779690984,2.562239255,0,0.004472136,0.238285543,0.032710854,2.181623249,0,0.085029407,0.202928559,0.019235384,3.415862995,0.025739231,0,0.836660027,0,0,0.062689712,0.051289882
9,-0.0007,0.0003,100,518.67,642.07,1579.05,1393.24,14.62,21.61,554.37,2388,9057.4,1.3,47.22,522.29,2388.03,8141.69,8.3996,0.03,392,2388,100,39.26,23.37,518.67,642.108,1584.13,1398.556,14.62,21.608,554.578,2387.996,9059.786,1.3,47.212,522.384,2388.002,8143.348,8.38572,0.03,392,2388,100,39.08,23.43008,0,0.375526297,3.311691411,3.069695425,0,0.004472136,0.233709221,0.015165751,2.514195696,0,0.066105976,0.179387848,0.023874673,3.288330884,0.025181183,0,0.707106781,0,0,0.108857705,0.061095515
10,0.0023,0.0002,100,518.67,642.33,1583.05,1391.98,14.62,21.61,554.43,2388.03,9062.11,1.3,47.16,522.55,2388,8142.95,8.3449,0.03,392,2388,100,39.14,23.4097,518.67,642.156,1584.168,1396.81,14.62,21.608,554.488,2388,9060.854,1.3,47.214,522.416,2388.004,8142.512,8.37608,0.03,392.2,2388,100,39.088,23.43048,0,0.387788602,3.29452121,3.906840155,0,0.004472136,0.164833249,0.021213203,1.992882335,0,0.063874878,0.19437078,0.023021729,2.530458456,0.030346038,0,0.447213595,0,0,0.112116011,0.060918651
11,0.0021,0.0005,100,518.67,642.3,1577.49,1397.93,14.62,21.61,554.62,2387.98,9061.3,1.3,47.19,521.87,2387.99,8144.82,8.4145,0.03,393,2388,100,39.05,23.3646,518.67,642.102,1582.614,1396.324,14.62,21.608,554.508,2387.994,9060.662,1.3,47.188,522.342,2388.002,8142.5,8.37672,0.03,392.4,2388,100,39.096,23.3975,0,0.330257475,4.322734089,3.482977175,0,0.004472136,0.175413796,0.021908902,1.865749179,0,0.023874673,0.312601983,0.023874673,2.516525382,0.031293482,0,0.547722558,0,0,0.106442473,0.03138925
12,-0.002,0.0001,100,518.67,641.65,1584.84,1390.53,14.62,21.61,554.5,2387.97,9059.06,1.3,47.11,522.49,2388.01,8141.59,8.3869,0.03,392,2388,100,38.93,23.4954,518.67,642.124,1582.41,1394.694,14.62,21.608,554.536,2387.992,9060.266,1.3,47.17,522.378,2388,8141.928,8.37836,0.03,392.4,2388,100,39.074,23.41624,0,0.283866166,4.151945327,3.976798964,0,0.004472136,0.155980768,0.023874673,1.972531369,0,0.040620192,0.318308027,0.02236068,2.276031634,0.031636182,0,0.547722558,0,0,0.12973049,0.054203256
2,-0.0006,0.0004,100,518.67,642.21,1589.39,1397.98,14.62,21.61,554.17,2388.01,9060.63,1.3,47.29,522.5,2388.01,8137.05,8.3788,0.03,391,2388,100,39.04,23.5772,518.67,642.35,1586.17,1399.79,14.62,21.61,554.38,2387.98,9060.965,1.3,47.24,521.955,2388,8139.925,8.38245,0.03,392,2388,100,39.05,23.5003,0,0.197989899,4.553767671,2.559726548,0,0,0.296984848,0.042426407,0.473761543,0,0.070710678,0.770746391,0.014142136,4.065863992,0.00516188,0,1.414213562,0,0,0.014142136,0.108753023
3,0.0029,0.0002,100,518.67,642.4,1590.51,1399.79,14.62,21.61,554.8,2388.04,9068.03,1.3,47.3,521.75,2388.02,8142.88,8.4153,0.03,390,2388,100,39.06,23.445,518.67,642.3666667,1587.616667,1399.79,14.62,21.61,554.52,2388,9063.32,1.3,47.26,521.8866667,2388.006667,8140.91,8.3934,0.03,391.3333333,2388,100,39.05333333,23.48186667,0,0.142945211,4.080065359,1.81,0,0,0.320780299,0.045825757,4.092713037,0,0.060827625,0.557703625,0.015275252,3.343097366,0.019313985,0,1.527525232,0,0,0.011547005,0.083264478
4,0.0071,0,100,518.67,642.28,1577.34,1393.92,14.62,21.61,553.56,2388.04,9051.6,1.3,47.29,521.63,2388,8139.74,8.3789,0.03,391,2388,100,39.18,23.352,518.67,642.345,1585.0475,1398.3225,14.62,21.61,554.28,2388.01,9060.39,1.3,47.2675,521.8225,2388.005,8140.6175,8.389775,0.03,391.25,2388,100,39.085,23.4494,0,0.124498996,6.123759058,3.28607542,0,0,0.546808925,0.042426407,6.745848106,0,0.051881275,0.473101469,0.012909944,2.791610945,0.017356531,0,1.258305739,0,0,0.064031242,0.09401234
5,0.0003,-0.0001,100,518.67,641.48,1585.59,1398.89,14.62,21.61,554.49,2388.03,9055.62,1.3,47.22,522.25,2388.04,8145.87,8.3908,0.03,392,2388,100,38.8,23.3086,518.67,642.172,1585.156,1398.436,14.62,21.61,554.322,2388.014,9059.436,1.3,47.258,521.908,2388.012,8141.668,8.38998,0.03,391.4,2388,100,39.028,23.42124,0,0.401584362,5.308877471,2.857119178,0,0,0.482773239,0.037815341,6.219359292,0,0.049699095,0.4521283,0.019235384,3.370841141,0.015038185,0,1.140175425,0,0,0.138996403,0.102925546
