time,label,true_time,true_label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41
27,2,27,2,2953.65,2310.29,2197.2333,1435.146,0.974,100,104.8733,0.1226,1.5381,-0.0077,0.0018,0.9472,197.0412,8.4855,422.2481,728.1346,0.9907,59.8067,0.6075,0.9665,6.3408,15.81,4.329,15.81,15.84,1.191,2.507,0.6977,3.178,-0.2838,0.6469,0.9995,2.3025,1003.9712,40.286,100,105.8,147.7,52.2002,278.8929,0.1974
12,0,14,2,2996.53,2533.52,2202.1222,1034.5674,0.776,100,104.6156,0.1219,1.532,0.0068,-0.0173,0.9699,200.9119,8.6467,408.7751,771.3742,0.9613,56.9219,0.605,0.9651,6.376,15.77,4.348,15.76,15.75,1.239,2.486,0.6881,3.091,-0.0473,0.6586,1,2.3073,998.4948,37.7156,119,67.6,50.3,59.2002,271.64,0.0667
1,1,1,1,2951.56,2441.22,2202.1222,1034.5674,0.776,100,104.6156,0.1219,1.5164,0.003,-0.0203,0.9571,202.6556,6.8065,406.7837,751.5454,0.9907,58.2573,0.5868,0.9703,6.3126,15.73,4.409,15.8,15.76,1.347,2.481,0.6808,3.021,-0.2838,0.6834,0.9955,2.3177,1000.5914,37.916,125,119.1,191.9,59.2002,271.64,0.0667
12,2,12,2,2986.34,2318.95,2213.7556,1113.5599,0.7217,100,104.1667,0.1211,1.3967,0.0176,-0.0239,0.9709,200.1579,7.7927,407.83,717.1551,0.9673,57.919,0.59,0.9661,6.4028,15.77,4.348,15.76,15.75,1.239,2.486,0.6881,3.091,-0.0473,0.6586,1,2.3073,998.4948,37.7156,103,123.9,115.5,53.9001,415.735,0.0594
13,2,13,2,3105.49,2587.3,2218.5778,1632.2734,0.8396,100,98.1311,0.1211,1.4991,-0.0064,-0.0148,0.9664,201.9838,8.0335,424.9771,625.3835,0.9904,57.356,0.6007,0.9668,6.3813,15.79,4.184,15.84,15.85,1.064,2.512,0.7275,3.245,0.2365,0.6755,0.9967,2.3099,1000.7826,35.8316,80,145.3,130.7,76.2002,506.028,0.2631
35,2,35,2,3090.09,2490.54,2213.7556,1113.5599,0.7217,100,104.1667,0.1211,1.4319,-0.0067,-0.0146,0.9691,200.5958,7.1169,405.6465,736.043,0.9903,59.423,0.599,0.9745,6.3113,15.77,4.348,15.76,15.75,1.239,2.486,0.6881,3.091,-0.0473,0.6586,1,2.3073,998.4948,37.7156,122,170.5,127.2,53.9001,415.735,0.0594
0,2,0,2,2986.32,2490.92,2218.0555,1517.4371,0.8579,100,105.8133,0.1206,1.5327,-0.0192,0.0023,0.9748,203.7596,7.4847,405.8447,581.2285,0.9908,56.5119,0.6001,0.9685,6.2385,15.81,4.329,15.81,15.84,1.191,2.507,0.6977,3.178,-0.2838,0.6469,0.9995,2.3025,1003.9712,40.286,127,116.2,113.1,70.5,340.8611,0.3963
17,0,68,1,3052.97,2501.63,2218.0555,1517.4371,0.8579,100,105.8133,0.1206,1.4732,-0.0063,-0.0148,0.9631,199.1995,9.0249,403.8765,763.2926,0.9907,58.6879,0.5951,0.9564,6.5826,15.81,4.329,15.81,15.84,1.191,2.507,0.6977,3.178,-0.2838,0.6469,0.9995,2.3025,1003.9712,40.286,93,62.2,142,70.5,340.8611,0.3963
43,2,43,2,2917.09,2518.96,2213.7556,1113.5599,0.7217,100,104.1667,0.1211,1.4628,0.0163,-0.0264,0.9502,201.146,10.4777,417.8509,761.2689,0.9907,58.4879,0.606,0.9763,6.2355,15.77,4.348,15.76,15.75,1.239,2.486,0.6881,3.091,-0.0473,0.6586,1,2.3073,998.4948,37.7156,143,88.6,134.1,53.9001,415.735,0.0594
4,1,4,1,2981.36,2502.06,2178.6889,1657.3518,1.6603,100,100.8022,0.1229,1.6128,0.0004,-0.0081,0.9502,198.5388,6.3295,393.0423,748.3036,0.9642,58.2955,0.5964,0.9676,6.3734,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,134,77.6,109.5,60.8,235.323,0.5762
2,0,5,1,3017.11,2364.31,2197.2333,1435.146,0.974,100,104.8733,0.1226,1.5518,0.013,-0.0008,0.959,198.9617,6.6757,398.8777,753.4158,0.9642,57.1909,0.6046,0.9686,6.2624,15.79,4.184,15.84,15.85,1.064,2.512,0.7275,3.245,0.2365,0.6755,0.9967,2.3099,1000.7826,35.8316,91,76.6,50.8,52.2002,278.8929,0.1974
6,0,6,1,2940.72,2419.83,2218.0555,1517.4371,0.8579,100,105.8133,0.1206,1.4603,0.0214,-0.0018,0.9677,199.1576,7.6517,414.1448,805.4147,0.9907,59.459,0.605,0.9626,6.4252,15.73,4.409,15.8,15.76,1.347,2.481,0.6808,3.021,-0.2838,0.6834,0.9955,2.3177,1000.5914,37.916,78,122.1,160,70.5,340.8611,0.3963
4,1,4,1,2940.17,2514.3,2186.9889,949.2201,1.2981,100,103.3322,0.1219,1.4768,0.0193,0.0009,0.9632,199.2589,7.8057,412.9148,598.2087,0.9904,59.8306,0.6026,0.9656,6.4431,15.81,4.329,15.81,15.84,1.191,2.507,0.6977,3.178,-0.2838,0.6469,0.9995,2.3025,1003.9712,40.286,108,104,107.7,52.8999,215.431,0.1318
1,0,3,1,2933.88,2488.49,2178.6889,1657.3518,1.6603,100,100.8022,0.1229,1.541,-0.0064,-0.0083,0.9655,197.5102,8.1393,409.8712,794.1723,0.9643,57.434,0.6034,0.9683,6.2293,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,115,96.6,92.1,60.8,235.323,0.5762
6,0,8,1,2989.85,2501.88,2197.2333,1435.146,0.974,100,104.8733,0.1226,1.533,-0.0059,0.0228,0.949,197.3174,6.7365,399.1127,764.7068,0.9909,58.2607,0.6089,0.9701,6.237,15.79,4.184,15.84,15.85,1.064,2.512,0.7275,3.245,0.2365,0.6755,0.9967,2.3099,1000.7826,35.8316,109,95.3,40.1,52.2002,278.8929,0.1974
135,2,135,2,3083.49,2536.43,2213.7556,1113.5599,0.7217,100,104.1667,0.1211,1.5082,-0.0057,-0.0069,0.9635,197.4467,10.225,425.1607,821.7003,0.9678,58.4309,0.5994,0.9779,6.3356,15.81,4.329,15.81,15.84,1.191,2.507,0.6977,3.178,-0.2838,0.6469,0.9995,2.3025,1003.9712,40.286,105,270.5,214.4,53.9001,415.735,0.0594
16,0,28,2,2965.48,2467.94,2178.6889,1657.3518,1.6603,100,100.8022,0.1229,1.5611,0.0128,-0.0103,0.9519,198.3277,7.1758,398.9085,778.5873,0.9615,56.8546,0.608,0.9694,6.357,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,144,96.9,71.1,60.8,235.323,0.5762
8,0,23,1,2951.41,2577.27,2207.8111,1202.452,1.6219,100,108.7689,0.1212,1.544,-0.0163,-0.0238,0.9664,198.4192,6.3185,395.4402,699.0406,0.9904,59.2062,0.5985,0.9673,6.3891,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,124,93.2,55.1,69.3,164.754,0.5461
5,2,5,2,3015.48,2532.88,2218.0555,1517.4371,0.8579,100,105.8133,0.1206,1.5316,-0.0105,-0.0218,0.9625,196.7227,7.3369,410.0177,796.9965,0.9908,59.4345,0.6051,0.9651,6.3431,15.77,4.348,15.76,15.75,1.239,2.486,0.6881,3.091,-0.0473,0.6586,1,2.3073,998.4948,37.7156,91,88.5,37.8,70.5,340.8611,0.3963
22,1,22,1,2981.47,2434.32,2180.0556,1031.0669,0.7565,100,104.7056,0.1226,1.5238,0.0007,-0.0247,0.9752,202.2718,7.4314,411.2325,684.9116,0.9914,59.4592,0.5897,0.9776,6.413,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,94,157.1,198.1,55.7002,202.279,0.0922
28,2,28,2,2946.7,2535.82,2178.6889,1657.3518,1.6603,100,100.8022,0.1229,1.5262,0.0065,-0.0052,0.9561,198.117,6.0355,401.4048,608.9453,0.9623,56.852,0.6025,0.9643,6.3522,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,116,63.2,76,60.8,235.323,0.5762
56,1,56,1,3015.67,2539.46,2204.2889,1616.0688,0.983,100,102.9922,0.1226,1.5973,0.0013,-0.0057,0.9638,198.1389,8.4651,411.2179,774.4805,0.9908,57.3758,0.6081,0.9763,6.3195,15.87,3.004,15.84,15.84,1.191,2.819,0.5071,3.263,0.7096,0.8387,1.001,2.3808,1007.3587,40.0493,139,202.4,197.9,77.3999,410.462,0.2336
34,0,39,2,3099.87,2675.58,2200.7,1568.0936,0.9496,100,99.4889,0.1217,1.6405,-0.041,-0.0067,0.9588,196.8626,7.9251,420.2281,810.6502,0.9909,59.6146,0.605,0.9673,6.3529,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,99,162.8,128.4,54.2998,265.262,0.2666
18,0,19,1,3048.73,2460.11,2205.2222,1427.384,1.4633,100,106.8389,0.1215,1.5164,-0.0013,-0.0059,0.9629,196.7101,7.0485,408.3351,673.1633,0.9907,59.3717,0.5866,0.9561,6.2964,15.77,4.348,15.76,15.75,1.239,2.486,0.6881,3.091,-0.0473,0.6586,1,2.3073,998.4948,37.7156,91,81.4,41.3,72.7,279.214,0.6225
0,0,21,1,3022.8,2436.69,2204.2889,1616.0688,0.983,100,102.9922,0.1226,1.5116,0.013,0.0007,0.9588,198.2658,8.3535,412.8731,743.8595,0.9916,59.3612,0.6044,0.9732,6.2857,15.87,3.004,15.84,15.84,1.191,2.819,0.5071,3.263,0.7096,0.8387,1.001,2.3808,1007.3587,40.0493,106,80.7,33.6,77.3999,410.462,0.2336
2,0,31,2,3018.81,2281.3,2197.2333,1435.146,0.974,100,104.8733,0.1226,1.4458,0.0006,-0.0029,0.95,196.4542,6.2079,448.4658,710.8998,0.9905,60.0562,0.6052,0.9615,6.3621,15.87,3.004,15.84,15.84,1.191,2.819,0.5071,3.263,0.7096,0.8387,1.001,2.3808,1007.3587,40.0493,86,173.5,188.3,52.2002,278.8929,0.1974
1,0,1,2,2977.43,2297.3,2218.0555,1517.4371,0.8579,100,105.8133,0.1206,1.4849,-0.002,0.0082,0.9601,196.4381,11.0801,406.0418,740.1718,0.9909,59.3036,0.5991,0.9699,6.2525,15.87,3.165,15.87,15.85,1.035,2.746,0.5609,3.275,-0.2365,0.8117,0.9999,2.3672,1006.3086,38.8115,87,69.7,142.4,70.5,340.8611,0.3963
0,0,0,2,3079.17,2405.56,2217.3777,1425.1041,1.7585,100,106.2556,0.12,1.4794,-0.0198,-0.0004,0.9535,197.4874,8.0655,419.1988,733.3834,0.9907,58.1458,0.5985,0.9688,6.2889,15.87,2.854,15.87,15.88,1.343,2.768,0.4947,3.265,-0.9461,0.8244,0.9995,2.3573,1008.0704,37.6658,129,57.5,147,61.1001,291.271,0.3336
14,0,36,2,2911.37,2541.21,2207.8111,1202.452,1.6219,100,108.7689,0.1212,1.5322,0.0205,-0.0213,0.9561,198.587,5.9071,397.4344,751.8475,0.9672,58.192,0.6012,0.9633,6.3865,15.87,2.854,15.87,15.88,1.343,2.768,0.4947,3.265,-0.9461,0.8244,0.9995,2.3573,1008.0704,37.6658,97,80.6,51.2,69.3,164.754,0.5461
1,0,5,2,3085.57,2364.78,2178.6889,1657.3518,1.6603,100,100.8022,0.1229,1.4945,0.0247,-0.0049,0.956,198.6292,8.2483,427.5357,761.0258,0.9589,57.1673,0.5959,0.9777,6.3725,15.87,2.854,15.87,15.88,1.343,2.768,0.4947,3.265,-0.9461,0.8244,0.9995,2.3573,1008.0704,37.6658,134,89.2,51,60.8,235.323,0.5762
4,0,6,1,3053.49,2457.08,2172.5333,1351.9648,1.6377,100,103.88,0.1243,1.568,0.0009,0.0094,0.956,198.1353,6.0246,398.1607,732.0802,0.9905,59.0601,0.6037,0.9672,6.3807,15.87,2.854,15.87,15.88,1.343,2.768,0.4947,3.265,-0.9461,0.8244,0.9995,2.3573,1008.0704,37.6658,144,189.8,95.2,55.2,300.8981,0.6121
6,0,18,1,3120.68,2396.4,2177.0222,1448.8499,1.5565,100,103.2567,0.1232,1.492,-0.0095,0.0165,0.9525,203.9795,10.9552,418.5165,768.2529,0.9908,59.0096,0.5984,0.9739,6.1971,15.83,3.074,15.87,15.85,1.078,2.791,0.5542,3.31,-0.8042,0.8258,0.9973,2.3737,1006.6387,39.8338,120,79.5,131.3,89.0999,91.455,0.5548
9,0,10,1,2956.84,2592.29,2217.3777,1425.1041,1.7585,100,106.2556,0.12,1.5383,-0.0268,-0.001,0.9573,198.7817,8.1382,420.1999,748.68,0.9911,57.8299,0.592,0.9772,6.3409,15.87,2.854,15.87,15.88,1.343,2.768,0.4947,3.265,-0.9461,0.8244,0.9995,2.3573,1008.0704,37.6658,93,79.6,72.3,61.1001,291.271,0.3336
9,2,9,2,3068.98,2439,2172.5333,1351.9648,1.6377,100,103.88,0.1243,1.4688,0.0147,-0.01,0.9492,199.6873,6.2149,404.5104,732.1428,0.9909,58.0879,0.6004,0.9773,6.3661,15.87,2.854,15.87,15.88,1.343,2.768,0.4947,3.265,-0.9461,0.8244,0.9995,2.3573,1008.0704,37.6658,87,82.6,86.8,55.2,300.8981,0.6121
2,1,2,1,2999.89,2506.39,2178.6889,1657.3518,1.6603,100,100.8022,0.1229,1.4925,0.0203,-0.0109,0.9523,198.2146,11.4336,416.256,711.8079,0.9621,58.1226,0.5922,0.9612,7.0626,15.83,3.074,15.87,15.85,1.078,2.791,0.5542,3.31,-0.8042,0.8258,0.9973,2.3737,1006.6387,39.8338,151,89.8,35.1,60.8,235.323,0.5762
8,0,23,1,3114.68,2605.48,2172.5333,1351.9648,1.6377,100,103.88,0.1243,1.5356,0.0278,-0.0019,0.9488,197.8987,10.0405,408.8065,741.2014,0.9671,58.4062,0.597,0.9653,6.3518,15.83,3.074,15.87,15.85,1.078,2.791,0.5542,3.31,-0.8042,0.8258,0.9973,2.3737,1006.6387,39.8338,137,103.3,29.5,55.2,300.8981,0.6121
16,1,16,1,3266.04,2417.04,2217.3777,1425.1041,1.7585,100,106.2556,0.12,1.4398,-0.0075,-0.0055,0.9586,198.0737,10.4828,408.5361,763.64,0.9909,58.6295,0.599,0.9678,6.278,15.83,3.074,15.87,15.85,1.078,2.791,0.5542,3.31,-0.8042,0.8258,0.9973,2.3737,1006.6387,39.8338,81,222.8,168.9,61.1001,291.271,0.3336
83,1,83,1,3041.33,2526.73,2213.7556,1113.5599,0.7217,100,104.1667,0.1211,1.4501,0.0011,-0.014,0.9673,198.9504,8.6212,406.427,679.5659,0.9909,58.0372,0.5966,0.9627,6.3569,15.83,3.074,15.87,15.85,1.078,2.791,0.5542,3.31,-0.8042,0.8258,0.9973,2.3737,1006.6387,39.8338,93,67.5,124.6,53.9001,415.735,0.0594
3,1,3,1,3071.58,2489.47,2217.3777,1425.1041,1.7585,100,106.2556,0.12,1.527,0.0066,-0.0124,0.9598,200.2884,10.2077,405.2716,753.7133,0.9907,58.1165,0.5947,0.9698,6.2238,15.83,3.074,15.87,15.85,1.078,2.791,0.5542,3.31,-0.8042,0.8258,0.9973,2.3737,1006.6387,39.8338,135,88.2,103.9,61.1001,291.271,0.3336
8,0,45,1,2921.48,2496.54,2213.9333,1248.6209,1.8848,100,97.1856,0.1209,1.4266,0.0181,-0.0118,0.9444,204.4783,9.4535,421.5449,778.4373,0.9911,59.2956,0.597,0.9717,5.9047,15.78,3.175,15.79,15.73,0.9413,2.773,0.5406,3.124,1.088,0.8361,0.9998,2.3695,1004.3856,38.7158,125,113.9,129.1,63.3,356.723,0.1305
0,0,2,1,3059.2,2467.8,2196.0889,1277.8592,1.8246,100,95.6322,0.1224,1.3787,0.0025,-0.0085,0.9655,203.8253,8.3871,401.423,757.1037,0.9649,58.5558,0.601,0.9783,6.2581,15.78,3.175,15.79,15.73,0.9413,2.773,0.5406,3.124,1.088,0.8361,0.9998,2.3695,1004.3856,38.7158,308,122.3,96.5,59.2,560.981,0.1702
1,1,1,1,3062.54,2370.5,2177.0222,1448.8499,1.5565,100,103.2567,0.1232,1.5533,0.0196,-0.003,0.944,202.8325,6.0066,399.6261,690.038,0.9902,58.5757,0.6016,0.9686,6.3121,15.78,3.175,15.79,15.73,0.9413,2.773,0.5406,3.124,1.088,0.8361,0.9998,2.3695,1004.3856,38.7158,134,104.6,40.1,89.0999,91.455,0.5548
0,1,0,1,3067.7,2500.27,2177.0222,1448.8499,1.5565,100,103.2567,0.1232,1.576,0.0272,0.0009,0.949,203.9146,6.0511,397.6668,647.2282,0.9901,58.9017,0.5959,0.9679,6.3424,15.78,3.175,15.79,15.73,0.9413,2.773,0.5406,3.124,1.088,0.8361,0.9998,2.3695,1004.3856,38.7158,122,140.4,103.2,89.0999,91.455,0.5548
4,1,4,1,3102.59,2514.95,2196.0889,1277.8592,1.8246,100,95.6322,0.1224,1.4727,-0.0005,-0.0076,0.9646,203.9804,8.5539,401.3223,759.4872,0.9908,57.6042,0.5955,0.9671,6.3219,15.78,3.175,15.79,15.73,0.9413,2.773,0.5406,3.124,1.088,0.8361,0.9998,2.3695,1004.3856,38.7158,144,104.1,37,59.2,560.981,0.1702
6,0,30,1,2948.76,2644.32,2185.3334,1780.4149,1.7632,100,93.9844,0.1215,1.4117,0.0089,-0.0093,0.951,202.47,6.5042,400.9347,744.0503,0.9917,59.0979,0.5968,0.9778,6.3493,15.77,3.067,15.8,15.73,1.248,2.792,0.5494,3.31,0,0.8217,0.9983,2.3735,1003.61,40.3057,130,157.5,126,55.3,603.4551,0.3844
1,0,18,1,3079.77,2354.51,2207.0444,1269.6078,1.7571,100,97.0189,0.1221,1.4607,0.0155,0.0093,0.9577,198.5381,6.8827,408.2091,785.5426,0.9916,59.2662,0.6067,0.9793,6.3654,15.76,2.932,15.83,15.82,1.196,2.813,0.5374,3.358,0,0.8203,0.9956,2.3766,1001.2553,39.8168,134,95.7,70.8,54.5,449.78,0.1339
71,1,71,1,3114.46,2656.84,2207.0444,1269.6078,1.7571,100,97.0189,0.1221,1.4164,0.0006,0.0056,0.9531,204.5303,6.0865,401.5505,753.6547,0.9671,58.1903,0.6059,0.9662,6.3097,15.77,3.067,15.8,15.73,1.248,2.792,0.5494,3.31,0,0.8217,0.9983,2.3735,1003.61,40.3057,124,99.1,36.1,54.5,449.78,0.1339
142,0,145,1,2882.17,2601.98,2213.9333,1248.6209,1.8848,100,97.1856,0.1209,1.5604,0.0054,0.0034,0.9505,204.53,7.9207,425.887,702.5985,0.961,57.3464,0.6019,0.9685,6.2795,15.77,3.067,15.8,15.73,1.248,2.792,0.5494,3.31,0,0.8217,0.9983,2.3735,1003.61,40.3057,91,133.9,121.9,63.3,356.723,0.1305
54,0,88,1,3014.35,2653.23,2203.0445,996.156,1.366,100,104.6633,0.1209,1.4794,0.0083,0.0005,0.9461,202.5944,7.0238,390.8367,740.4595,0.9909,59.2184,0.6001,0.9775,6.1448,15.78,3.175,15.79,15.73,0.9413,2.773,0.5406,3.124,1.088,0.8361,0.9998,2.3695,1004.3856,38.7158,83,64.4,64.5,48.7,285.919,0.1414
3,0,5,2,2901.07,2505.83,2207.0444,1269.6078,1.7571,100,97.0189,0.1221,1.513,0.0011,0.0026,0.9493,204.4123,5.6194,409.8024,803.9097,0.9903,59.5345,0.6067,0.9697,6.3226,15.76,2.932,15.83,15.82,1.196,2.813,0.5374,3.358,0,0.8203,0.9956,2.3766,1001.2553,39.8168,125,62.8,72.7,54.5,449.78,0.1339
17,0,52,1,2942.41,2523.71,2207.0444,1269.6078,1.7571,100,97.0189,0.1221,1.5272,0.0181,0.0022,0.9519,198.4701,7.8206,406.6101,749.6408,0.9912,57.4901,0.6077,0.9738,6.0229,15.77,3.067,15.8,15.73,1.248,2.792,0.5494,3.31,0,0.8217,0.9983,2.3735,1003.61,40.3057,117,86.6,62.6,54.5,449.78,0.1339
15,0,21,1,2882.76,2516.11,2172.5333,1351.9648,1.6377,100,103.88,0.1243,1.5766,-0.0104,0.0042,0.9668,198.2299,5.6548,394.7654,616.1472,0.9625,57.767,0.599,0.9667,6.2852,15.77,3.067,15.8,15.73,1.248,2.792,0.5494,3.31,0,0.8217,0.9983,2.3735,1003.61,40.3057,126,113.2,59.3,55.2,300.8981,0.6121
84,0,84,1,3047.76,2446.96,2187.6667,1468.8963,0.9253,100,101.8611,0.1234,1.6004,-0.0024,0.0056,0.9503,199.7304,7.0945,408.0503,754.9704,0.9909,58.2705,0.5596,0.9674,6.312,15.87,2.854,15.87,15.88,1.343,2.768,0.4947,3.265,-0.9461,0.8244,0.9995,2.3573,1008.0704,37.6658,278,179.6,92.6,58.2,259.3379,0.3278
1,0,2,1,3133.43,2406.58,2173.4556,1433.6732,1.0304,100,110.5422,0.1245,1.5261,0.0019,0.0034,0.9525,197.1227,10.7231,432.2275,784.4543,0.9904,57.305,0.6042,0.9744,6.1596,15.88,4.289,15.95,15.92,1.206,2.766,0.7372,3.225,-0.5204,0.7884,0.9958,2.2588,1004.7367,36.5479,129,95.2,103.5,52.5,143.6,0.1972
2,0,2,1,3080.01,2481.04,2172.1223,1871.2454,1.5915,100,100.2533,0.1247,1.4337,-0.0006,0.0082,0.952,197.5113,8.5405,412.8772,701.3177,0.9913,59.5637,0.6046,0.9667,6.4197,15.88,4.289,15.95,15.92,1.206,2.766,0.7372,3.225,-0.5204,0.7884,0.9958,2.2588,1004.7367,36.5479,109,126.4,137.9,43.5,330.35,0.6545
0,0,1,2,2967.57,2520.91,2172.1223,1871.2454,1.5915,100,100.2533,0.1247,1.4873,0,0.0031,0.9549,196.9941,7.9655,425.0815,813.1202,0.9909,59.2458,0.6026,0.9763,6.2186,15.88,4.289,15.95,15.92,1.206,2.766,0.7372,3.225,-0.5204,0.7884,0.9958,2.2588,1004.7367,36.5479,142,72.2,42.7,43.5,330.35,0.6545
9,0,11,2,3007.38,2474.97,2170.9667,1600.3858,1.043,100,104.9756,0.1249,1.4396,0.0043,0.0064,0.9543,200.0002,3.574,413.8273,785.3684,0.9908,58.637,0.6032,0.968,6.3108,15.88,4.289,15.95,15.92,1.206,2.766,0.7372,3.225,-0.5204,0.7884,0.9958,2.2588,1004.7367,36.5479,84,84.6,106.2,47,377.083,0.3053
40,2,40,2,3012.56,2534.62,2180.7,1159.3838,1.0177,100,98.9367,0.1222,1.411,-0.0016,0.0129,0.9664,204.2996,7.8925,416.9795,690.3471,0.9906,58.5367,0.598,0.9602,7.522,15.84,4.013,15.85,15.81,1.007,2.798,0.7099,3.343,0.8042,0.789,0.9993,2.2622,1006.4757,40.4923,593,91.6,68.3,45.7,442.248,0.2324
6,1,6,1,2958.91,2460.19,2191.5667,1448.8757,0.9187,100,104.4511,0.1261,1.4482,-0.0321,0.0048,0.9628,198.6748,8.9288,403.6765,802.4611,0.9916,57.9866,0.5979,0.9648,6.4195,15.71,4.062,15.71,15.74,1.182,2.377,0.5822,2.745,-0.6623,0.6852,0.9998,2.3296,993.4924,36.742,84,74.1,82.7,54.5,228.416,0.2207
11,1,11,1,2940.56,2490.68,2170.9667,1600.3858,1.043,100,104.9756,0.1249,1.4035,0.002,0.0027,0.9581,198.7807,10.8036,410.0879,750.868,0.9077,56.3711,0.5973,0.9786,6.2494,15.71,4.062,15.71,15.74,1.182,2.377,0.5822,2.745,-0.6623,0.6852,0.9998,2.3296,993.4924,36.742,115,105.8,103.8,47,377.083,0.3053
5,0,5,1,3021.45,2611.98,2113.0778,1016.675,0.9218,100,97.92,0.1265,1.5448,-0.016,0.0016,0.9661,197.2046,8.3735,407.3401,758.9631,0.9903,58.5086,0.6079,0.9672,6.7997,15.72,4.264,15.75,15.77,1.154,2.465,0.694,2.945,-0.1419,0.6556,0.9982,2.3162,1007.3403,39.6652,143,262.9,237.5,53.6001,261.163,0.1532
4,1,4,1,2996.66,2501.03,2235.0556,1302.6607,1.6347,100,109.9856,0.123,1.5458,-0.0107,-0.0048,0.9577,198.4792,10.324,403.3676,709.5378,0.9904,59.1346,0.6191,0.9664,6.3547,15.72,4.264,15.75,15.77,1.154,2.465,0.694,2.945,-0.1419,0.6556,0.9982,2.3162,1007.3403,39.6652,90,68.8,59.5,52.7002,340.736,0.0928
0,0,0,2,3072.41,2705.16,2183.3111,1588.509,1.6269,100,102.8467,0.1248,1.4499,0.0212,-0.0027,0.9483,197.4786,6.5889,413.1167,744.1361,0.962,57.0942,0.608,0.9769,6.3186,15.72,4.264,15.75,15.77,1.154,2.465,0.694,2.945,-0.1419,0.6556,0.9982,2.3162,1007.3403,39.6652,151,268.9,212.8,58,165.9249,0.4527
6,1,6,1,3200.36,2378.77,2163.5889,1448.3869,1.7014,100,104.8333,0.1256,1.3732,0.0314,0.0041,0.9773,198.3245,2.9193,824.9271,781.5844,0.991,56.8481,0.6022,0.9662,6.2846,15.72,4.264,15.75,15.77,1.154,2.465,0.694,2.945,-0.1419,0.6556,0.9982,2.3162,1007.3403,39.6652,150,84.4,141.9,56.8999,288.1161,0.3835
9,2,9,2,3012.41,2481.59,2141.0667,1236.5212,0.9698,100,98.3344,0.1238,1.5477,0.0145,-0.0032,0.9647,197.7446,9.3115,404.4062,766.7332,0.9908,58.4977,0.6115,0.9771,6.2668,15.72,4.264,15.75,15.77,1.154,2.465,0.694,2.945,-0.1419,0.6556,0.9982,2.3162,1007.3403,39.6652,88,114,41,61.3999,322.771,0.0854
28,0,42,2,2961.36,2362.09,2163.5889,1448.3869,1.7014,100,104.8333,0.1256,1.468,-0.033,-0.0022,0.9727,199.336,6.4852,413.5628,724.0843,0.9908,58.7125,0.6115,0.9654,6.3864,15.74,3.494,15.75,15.75,1.078,2.688,0.536,2.816,-0.0473,0.6887,0.999,2.3259,996.2163,39.4787,132,110.3,44.4,56.8999,288.1161,0.3835
21,0,27,2,3106.55,2673.41,2202.2889,1518.2905,0.9257,100,94.8922,0.1213,1.4116,-0.0041,0.0025,0.9654,204.029,11.2144,408.0078,788.1325,0.9907,59.5503,0.5957,0.9637,6.4084,15.71,4.062,15.71,15.74,1.182,2.377,0.5822,2.745,-0.6623,0.6852,0.9998,2.3296,993.4924,36.742,124,106.2,49,65.5,444.087,0.1199
0,0,1,1,3043.23,2556.22,2230.7555,1281.7862,1.0038,100,111.5489,0.1235,1.4526,0.0383,-0.0115,0.9511,196.9527,6.9717,413.0281,729.1587,0.9915,58.5372,0.6076,0.9655,6.3525,15.74,3.494,15.75,15.75,1.078,2.688,0.536,2.816,-0.0473,0.6887,0.999,2.3259,996.2163,39.4787,91,208.6,181.2,52.3,263.8879,0.2879
11,0,15,2,3043.34,2473.49,2170.9667,1600.3858,1.043,100,104.9756,0.1249,1.5446,-0.0034,0.0034,0.9641,199.9462,12.0049,412.4322,728.0024,0.9911,57.8318,0.5982,0.964,6.302,15.71,4.062,15.71,15.74,1.182,2.377,0.5822,2.745,-0.6623,0.6852,0.9998,2.3296,993.4924,36.742,308,105.4,80.1,47,377.083,0.3053
